order	chromosome	A	type	start	end	B	strand	C	ID
1_	chr1	.	miRNA_primary_transcript	17369	17436	.	-	.	ID=MI0022705;Alias=MI0022705;Name=hsa-mir-6859-1
2_	chr1	.	miRNA	17409	17431	.	-	.	ID=MIMAT0027618;Alias=MIMAT0027618;Name=hsa-miR-6859-5p;Derives_from=MI0022705
3_	chr1	.	miRNA	17369	17391	.	-	.	ID=MIMAT0027619;Alias=MIMAT0027619;Name=hsa-miR-6859-3p;Derives_from=MI0022705
4_	chr1	.	miRNA_primary_transcript	30366	30503	.	+	.	ID=MI0006363;Alias=MI0006363;Name=hsa-mir-1302-2
5_	chr1	.	miRNA	30438	30458	.	+	.	ID=MIMAT0005890;Alias=MIMAT0005890;Name=hsa-miR-1302;Derives_from=MI0006363
6_	chr1	.	miRNA_primary_transcript	567705	567793	.	-	.	ID=MI0022558;Alias=MI0022558;Name=hsa-mir-6723
7_	chr1	.	miRNA	567762	567783	.	-	.	ID=MIMAT0025855;Alias=MIMAT0025855;Name=hsa-miR-6723-5p;Derives_from=MI0022558
8_	chr1	.	miRNA_primary_transcript	1102484	1102578	.	+	.	ID=MI0000342;Alias=MI0000342;Name=hsa-mir-200b
9_	chr1	.	miRNA	1102504	1102525	.	+	.	ID=MIMAT0004571;Alias=MIMAT0004571;Name=hsa-miR-200b-5p;Derives_from=MI0000342
10_	chr1	.	miRNA	1102540	1102561	.	+	.	ID=MIMAT0000318;Alias=MIMAT0000318;Name=hsa-miR-200b-3p;Derives_from=MI0000342
11_	chr1	.	miRNA_primary_transcript	1103243	1103332	.	+	.	ID=MI0000737;Alias=MI0000737;Name=hsa-mir-200a
12_	chr1	.	miRNA	1103258	1103279	.	+	.	ID=MIMAT0001620;Alias=MIMAT0001620;Name=hsa-miR-200a-5p;Derives_from=MI0000737
13_	chr1	.	miRNA	1103296	1103317	.	+	.	ID=MIMAT0000682;Alias=MIMAT0000682;Name=hsa-miR-200a-3p;Derives_from=MI0000737
14_	chr1	.	miRNA_primary_transcript	1104385	1104467	.	+	.	ID=MI0001641;Alias=MI0001641;Name=hsa-mir-429
15_	chr1	.	miRNA	1104435	1104456	.	+	.	ID=MIMAT0001536;Alias=MIMAT0001536;Name=hsa-miR-429;Derives_from=MI0001641
16_	chr1	.	miRNA_primary_transcript	1231490	1231550	.	-	.	ID=MI0022571;Alias=MI0022571;Name=hsa-mir-6726
17_	chr1	.	miRNA	1231525	1231545	.	-	.	ID=MIMAT0027353;Alias=MIMAT0027353;Name=hsa-miR-6726-5p;Derives_from=MI0022571
18_	chr1	.	miRNA	1231490	1231509	.	-	.	ID=MIMAT0027354;Alias=MIMAT0027354;Name=hsa-miR-6726-3p;Derives_from=MI0022571
19_	chr1	.	miRNA_primary_transcript	1247882	1247946	.	-	.	ID=MI0022572;Alias=MI0022572;Name=hsa-mir-6727
20_	chr1	.	miRNA	1247919	1247941	.	-	.	ID=MIMAT0027355;Alias=MIMAT0027355;Name=hsa-miR-6727-5p;Derives_from=MI0022572
21_	chr1	.	miRNA	1247882	1247901	.	-	.	ID=MIMAT0027356;Alias=MIMAT0027356;Name=hsa-miR-6727-3p;Derives_from=MI0022572
22_	chr1	.	miRNA_primary_transcript	1275030	1275088	.	-	.	ID=MI0022653;Alias=MI0022653;Name=hsa-mir-6808
23_	chr1	.	miRNA	1275062	1275083	.	-	.	ID=MIMAT0027516;Alias=MIMAT0027516;Name=hsa-miR-6808-5p;Derives_from=MI0022653
24_	chr1	.	miRNA	1275030	1275050	.	-	.	ID=MIMAT0027517;Alias=MIMAT0027517;Name=hsa-miR-6808-3p;Derives_from=MI0022653
25_	chr1	.	miRNA_primary_transcript	3044539	3044599	.	+	.	ID=MI0015861;Alias=MI0015861;Name=hsa-mir-4251
26_	chr1	.	miRNA	3044573	3044589	.	+	.	ID=MIMAT0016883;Alias=MIMAT0016883;Name=hsa-miR-4251;Derives_from=MI0015861
27_	chr1	.	miRNA_primary_transcript	3477259	3477354	.	-	.	ID=MI0003556;Alias=MI0003556;Name=hsa-mir-551a
28_	chr1	.	miRNA	3477274	3477294	.	-	.	ID=MIMAT0003214;Alias=MIMAT0003214;Name=hsa-miR-551a;Derives_from=MI0003556
29_	chr1	.	miRNA_primary_transcript	5624131	5624203	.	+	.	ID=MI0016753;Alias=MI0016753;Name=hsa-mir-4417
30_	chr1	.	miRNA	5624142	5624159	.	+	.	ID=MIMAT0018929;Alias=MIMAT0018929;Name=hsa-miR-4417;Derives_from=MI0016753
31_	chr1	.	miRNA_primary_transcript	5922732	5922801	.	-	.	ID=MI0017322;Alias=MI0017322;Name=hsa-mir-4689
32_	chr1	.	miRNA	5922771	5922792	.	-	.	ID=MIMAT0019778;Alias=MIMAT0019778;Name=hsa-miR-4689;Derives_from=MI0017322
33_	chr1	.	miRNA_primary_transcript	6489894	6489956	.	-	.	ID=MI0015864;Alias=MI0015864;Name=hsa-mir-4252
34_	chr1	.	miRNA	6489904	6489922	.	-	.	ID=MIMAT0016886;Alias=MIMAT0016886;Name=hsa-miR-4252;Derives_from=MI0015864
35_	chr1	.	miRNA_primary_transcript	8926561	8926649	.	-	.	ID=MI0022573;Alias=MI0022573;Name=hsa-mir-6728
36_	chr1	.	miRNA	8926622	8926644	.	-	.	ID=MIMAT0027357;Alias=MIMAT0027357;Name=hsa-miR-6728-5p;Derives_from=MI0022573
37_	chr1	.	miRNA	8926561	8926581	.	-	.	ID=MIMAT0027358;Alias=MIMAT0027358;Name=hsa-miR-6728-3p;Derives_from=MI0022573
38_	chr1	.	miRNA_primary_transcript	9211727	9211836	.	-	.	ID=MI0000268;Alias=MI0000268;Name=hsa-mir-34a
39_	chr1	.	miRNA	9211794	9211815	.	-	.	ID=MIMAT0000255;Alias=MIMAT0000255;Name=hsa-miR-34a-5p;Derives_from=MI0000268
40_	chr1	.	miRNA	9211752	9211773	.	-	.	ID=MIMAT0004557;Alias=MIMAT0004557;Name=hsa-miR-34a-3p;Derives_from=MI0000268
41_	chr1	.	miRNA_primary_transcript	10027439	10027516	.	+	.	ID=MI0019304;Alias=MI0019304;Name=hsa-mir-5697
42_	chr1	.	miRNA	10027448	10027469	.	+	.	ID=MIMAT0022490;Alias=MIMAT0022490;Name=hsa-miR-5697;Derives_from=MI0019304
43_	chr1	.	miRNA_primary_transcript	10287776	10287861	.	+	.	ID=MI0014254;Alias=MI0014254;Name=hsa-mir-1273d
44_	chr1	.	miRNA	10287785	10287809	.	+	.	ID=MIMAT0015090;Alias=MIMAT0015090;Name=hsa-miR-1273d;Derives_from=MI0014254
45_	chr1	.	miRNA_primary_transcript	12089215	12089279	.	+	.	ID=MI0022574;Alias=MI0022574;Name=hsa-mir-6729
46_	chr1	.	miRNA	12089220	12089241	.	+	.	ID=MIMAT0027359;Alias=MIMAT0027359;Name=hsa-miR-6729-5p;Derives_from=MI0022574
47_	chr1	.	miRNA	12089259	12089279	.	+	.	ID=MIMAT0027360;Alias=MIMAT0027360;Name=hsa-miR-6729-3p;Derives_from=MI0022574
48_	chr1	.	miRNA_primary_transcript	12227000	12227095	.	+	.	ID=MI0025516;Alias=MI0025516;Name=hsa-mir-7846
49_	chr1	.	miRNA	12227067	12227087	.	+	.	ID=MIMAT0030421;Alias=MIMAT0030421;Name=hsa-miR-7846-3p;Derives_from=MI0025516
50_	chr1	.	miRNA_primary_transcript	12251770	12251830	.	+	.	ID=MI0017259;Alias=MI0017259;Name=hsa-mir-4632
51_	chr1	.	miRNA	12251809	12251830	.	+	.	ID=MIMAT0019688;Alias=MIMAT0019688;Name=hsa-miR-4632-3p;Derives_from=MI0017259
52_	chr1	.	miRNA	12251770	12251792	.	+	.	ID=MIMAT0022977;Alias=MIMAT0022977;Name=hsa-miR-4632-5p;Derives_from=MI0017259
53_	chr1	.	miRNA_primary_transcript	12638985	12639051	.	-	.	ID=MI0022575;Alias=MI0022575;Name=hsa-mir-6730
54_	chr1	.	miRNA	12639024	12639046	.	-	.	ID=MIMAT0027361;Alias=MIMAT0027361;Name=hsa-miR-6730-5p;Derives_from=MI0022575
55_	chr1	.	miRNA	12638986	12639007	.	-	.	ID=MIMAT0027362;Alias=MIMAT0027362;Name=hsa-miR-6730-3p;Derives_from=MI0022575
56_	chr1	.	miRNA_primary_transcript	17185444	17185516	.	-	.	ID=MI0016076;Alias=MI0016076;Name=hsa-mir-3675
57_	chr1	.	miRNA	17185483	17185505	.	-	.	ID=MIMAT0018098;Alias=MIMAT0018098;Name=hsa-miR-3675-5p;Derives_from=MI0016076
58_	chr1	.	miRNA	17185453	17185474	.	-	.	ID=MIMAT0018099;Alias=MIMAT0018099;Name=hsa-miR-3675-3p;Derives_from=MI0016076
59_	chr1	.	miRNA_primary_transcript	17604384	17604470	.	+	.	ID=MI0016990;Alias=MI0016990;Name=hsa-mir-3972
60_	chr1	.	miRNA	17604443	17604464	.	+	.	ID=MIMAT0019357;Alias=MIMAT0019357;Name=hsa-miR-3972;Derives_from=MI0016990
61_	chr1	.	miRNA_primary_transcript	19209696	19209769	.	-	.	ID=MI0017328;Alias=MI0017328;Name=hsa-mir-4695
62_	chr1	.	miRNA	19209744	19209765	.	-	.	ID=MIMAT0019788;Alias=MIMAT0019788;Name=hsa-miR-4695-5p;Derives_from=MI0017328
63_	chr1	.	miRNA	19209698	19209719	.	-	.	ID=MIMAT0019789;Alias=MIMAT0019789;Name=hsa-miR-4695-3p;Derives_from=MI0017328
64_	chr1	.	miRNA_primary_transcript	19223565	19223642	.	-	.	ID=MI0006352;Alias=MI0006352;Name=hsa-mir-1290
65_	chr1	.	miRNA	19223572	19223590	.	-	.	ID=MIMAT0005880;Alias=MIMAT0005880;Name=hsa-miR-1290;Derives_from=MI0006352
66_	chr1	.	miRNA_primary_transcript	20960172	20960281	.	+	.	ID=MI0020361;Alias=MI0020361;Name=hsa-mir-6084
