order	chromosome	type	start	end	strand	ID	accession_number	Name_hsaV20	Name	derives_from
1_	chr1	miRNA_primary_transcript	30366.0	30503.0	+	MI0006363_1	MI0006363	hsa-mir-1302-2	hsa-mir-1302-2	na
2_	chr1	miRNA	30438.0	30458.0	+	MIMAT0005890_1	MIMAT0005890	hsa-miR-1302-3p	hsa-miR-1302	MI0006363_1
3_	chr1	miRNA_primary_transcript	567705.0	567793.0	-	MI0022558_1	MI0022558	hsa-mir-6723	hsa-mir-6723	na
4_	chr1	miRNA	567762.0	567783.0	-	MIMAT0025855_1	MIMAT0025855	hsa-miR-6723-5p	hsa-miR-6723-5p	MI0022558_1
5_	chr1	miRNA_primary_transcript	1102484.0	1102578.0	+	MI0000342_1	MI0000342	hsa-mir-200b	hsa-mir-200b	na
6_	chr1	miRNA	1102504.0	1102525.0	+	MIMAT0004571_1	MIMAT0004571	hsa-miR-200b-5p	hsa-miR-200b-5p	MI0000342_1
7_	chr1	miRNA	1102540.0	1102561.0	+	MIMAT0000318_1	MIMAT0000318	hsa-miR-200b-3p	hsa-miR-200b-3p	MI0000342_1
8_	chr1	miRNA_primary_transcript	1103243.0	1103332.0	+	MI0000737_1	MI0000737	hsa-mir-200a	hsa-mir-200a	na
9_	chr1	miRNA	1103258.0	1103279.0	+	MIMAT0001620_1	MIMAT0001620	hsa-miR-200a-5p	hsa-miR-200a-5p	MI0000737_1
10_	chr1	miRNA	1103296.0	1103317.0	+	MIMAT0000682_1	MIMAT0000682	hsa-miR-200a-3p	hsa-miR-200a-3p	MI0000737_1
11_	chr1	miRNA_primary_transcript	1104385.0	1104467.0	+	MI0001641_1	MI0001641	hsa-mir-429	hsa-mir-429	na
12_	chr1	miRNA	1104435.0	1104456.0	+	MIMAT0001536_1	MIMAT0001536	hsa-miR-429-3p	hsa-miR-429	MI0001641_1
13_	chr1	miRNA_primary_transcript	3044539.0	3044599.0	+	MI0015861_1	MI0015861	hsa-mir-4251	hsa-mir-4251	na
14_	chr1	miRNA	3044573.0	3044589.0	+	MIMAT0016883_1	MIMAT0016883	hsa-miR-4251-3p	hsa-miR-4251	MI0015861_1
15_	chr1	miRNA_primary_transcript	3477259.0	3477354.0	-	MI0003556_1	MI0003556	hsa-mir-551a	hsa-mir-551a	na
16_	chr1	miRNA	3477274.0	3477294.0	-	MIMAT0003214_1	MIMAT0003214	hsa-miR-551a-3p	hsa-miR-551a	MI0003556_1
17_	chr1	miRNA_primary_transcript	5624131.0	5624203.0	+	MI0016753_1	MI0016753	hsa-mir-4417	hsa-mir-4417	na
18_	chr1	miRNA	5624142.0	5624159.0	+	MIMAT0018929_1	MIMAT0018929	hsa-miR-4417-5p	hsa-miR-4417	MI0016753_1
19_	chr1	miRNA_primary_transcript	5922732.0	5922801.0	-	MI0017322_1	MI0017322	hsa-mir-4689	hsa-mir-4689	na
20_	chr1	miRNA	5922771.0	5922792.0	-	MIMAT0019778_1	MIMAT0019778	hsa-miR-4689-5p	hsa-miR-4689	MI0017322_1
21_	chr1	miRNA_primary_transcript	6489894.0	6489956.0	-	MI0015864_1	MI0015864	hsa-mir-4252	hsa-mir-4252	na
22_	chr1	miRNA	6489904.0	6489922.0	-	MIMAT0016886_1	MIMAT0016886	hsa-miR-4252-3p	hsa-miR-4252	MI0015864_1
23_	chr1	miRNA_primary_transcript	9211727.0	9211836.0	-	MI0000268_1	MI0000268	hsa-mir-34a	hsa-mir-34a	na
