order	chromosome	type	start	end	strand	ID	accession_number	Name_hsaV2	Name	derives_from
1_	chr1	miRNA_primary_transcript	17369.0	17436.0	-	MI0022705	MI0022705	hsa-mir-6859-1	hsa-mir-6859-1	na
2_	chr1	miRNA	17409.0	17431.0	-	MIMAT0027618	MIMAT0027618	hsa-miR-6859-5p	hsa-miR-6859-5p	MI0022705
3_	chr1	miRNA	17369.0	17391.0	-	MIMAT0027619	MIMAT0027619	hsa-miR-6859-3p	hsa-miR-6859-3p	MI0022705
4_	chr1	miRNA_primary_transcript	30366.0	30503.0	+	MI0006363	MI0006363	hsa-mir-1302-2	hsa-mir-1302-2	na
5_	chr1	miRNA	30438.0	30458.0	+	MIMAT0005890	MIMAT0005890	hsa-miR-1302-3p	hsa-miR-1302	MI0006363
6_	chr1	miRNA_primary_transcript	567705.0	567793.0	-	MI0022558	MI0022558	hsa-mir-6723	hsa-mir-6723	na
7_	chr1	miRNA	567762.0	567783.0	-	MIMAT0025855	MIMAT0025855	hsa-miR-6723-5p	hsa-miR-6723-5p	MI0022558
8_	chr1	miRNA_primary_transcript	1102484.0	1102578.0	+	MI0000342	MI0000342	hsa-mir-200b	hsa-mir-200b	na
9_	chr1	miRNA	1102504.0	1102525.0	+	MIMAT0004571	MIMAT0004571	hsa-miR-200b-5p	hsa-miR-200b-5p	MI0000342
10_	chr1	miRNA	1102540.0	1102561.0	+	MIMAT0000318	MIMAT0000318	hsa-miR-200b-3p	hsa-miR-200b-3p	MI0000342
11_	chr1	miRNA_primary_transcript	1103243.0	1103332.0	+	MI0000737	MI0000737	hsa-mir-200a	hsa-mir-200a	na
12_	chr1	miRNA	1103258.0	1103279.0	+	MIMAT0001620	MIMAT0001620	hsa-miR-200a-5p	hsa-miR-200a-5p	MI0000737
13_	chr1	miRNA	1103296.0	1103317.0	+	MIMAT0000682	MIMAT0000682	hsa-miR-200a-3p	hsa-miR-200a-3p	MI0000737
14_	chr1	miRNA_primary_transcript	1104385.0	1104467.0	+	MI0001641	MI0001641	hsa-mir-429	hsa-mir-429	na
15_	chr1	miRNA	1104435.0	1104456.0	+	MIMAT0001536	MIMAT0001536	hsa-miR-429-3p	hsa-miR-429	MI0001641
16_	chr1	miRNA_primary_transcript	1231490.0	1231550.0	-	MI0022571	MI0022571	hsa-mir-6726	hsa-mir-6726	na
17_	chr1	miRNA	1231525.0	1231545.0	-	MIMAT0027353	MIMAT0027353	hsa-miR-6726-5p	hsa-miR-6726-5p	MI0022571
18_	chr1	miRNA	1231490.0	1231509.0	-	MIMAT0027354	MIMAT0027354	hsa-miR-6726-3p	hsa-miR-6726-3p	MI0022571
19_	chr1	miRNA_primary_transcript	1247882.0	1247946.0	-	MI0022572	MI0022572	hsa-mir-6727	hsa-mir-6727	na
20_	chr1	miRNA	1247919.0	1247941.0	-	MIMAT0027355	MIMAT0027355	hsa-miR-6727-5p	hsa-miR-6727-5p	MI0022572
21_	chr1	miRNA	1247882.0	1247901.0	-	MIMAT0027356	MIMAT0027356	hsa-miR-6727-3p	hsa-miR-6727-3p	MI0022572
22_	chr1	miRNA_primary_transcript	1275030.0	1275088.0	-	MI0022653	MI0022653	hsa-mir-6808	hsa-mir-6808	na
23_	chr1	miRNA	1275062.0	1275083.0	-	MIMAT0027516	MIMAT0027516	hsa-miR-6808-5p	hsa-miR-6808-5p	MI0022653
24_	chr1	miRNA	1275030.0	1275050.0	-	MIMAT0027517	MIMAT0027517	hsa-miR-6808-3p	hsa-miR-6808-3p	MI0022653
25_	chr1	miRNA_primary_transcript	3044539.0	3044599.0	+	MI0015861	MI0015861	hsa-mir-4251	hsa-mir-4251	na
26_	chr1	miRNA	3044573.0	3044589.0	+	MIMAT0016883	MIMAT0016883	hsa-miR-4251-3p	hsa-miR-4251	MI0015861
27_	chr1	miRNA_primary_transcript	3477259.0	3477354.0	-	MI0003556	MI0003556	hsa-mir-551a	hsa-mir-551a	na
28_	chr1	miRNA	3477274.0	3477294.0	-	MIMAT0003214	MIMAT0003214	hsa-miR-551a-3p	hsa-miR-551a	MI0003556
29_	chr1	miRNA_primary_transcript	5624131.0	5624203.0	+	MI0016753	MI0016753	hsa-mir-4417	hsa-mir-4417	na
30_	chr1	miRNA	5624142.0	5624159.0	+	MIMAT0018929	MIMAT0018929	hsa-miR-4417-5p	hsa-miR-4417	MI0016753
31_	chr1	miRNA_primary_transcript	5922732.0	5922801.0	-	MI0017322	MI0017322	hsa-mir-4689	hsa-mir-4689	na
32_	chr1	miRNA	5922771.0	5922792.0	-	MIMAT0019778	MIMAT0019778	hsa-miR-4689-5p	hsa-miR-4689	MI0017322
33_	chr1	miRNA_primary_transcript	6489894.0	6489956.0	-	MI0015864	MI0015864	hsa-mir-4252	hsa-mir-4252	na
34_	chr1	miRNA	6489904.0	6489922.0	-	MIMAT0016886	MIMAT0016886	hsa-miR-4252-3p	hsa-miR-4252	MI0015864
35_	chr1	miRNA_primary_transcript	8926561.0	8926649.0	-	MI0022573	MI0022573	hsa-mir-6728	hsa-mir-6728	na
36_	chr1	miRNA	8926622.0	8926644.0	-	MIMAT0027357	MIMAT0027357	hsa-miR-6728-5p	hsa-miR-6728-5p	MI0022573
37_	chr1	miRNA	8926561.0	8926581.0	-	MIMAT0027358	MIMAT0027358	hsa-miR-6728-3p	hsa-miR-6728-3p	MI0022573
38_	chr1	miRNA_primary_transcript	9211727.0	9211836.0	-	MI0000268	MI0000268	hsa-mir-34a	hsa-mir-34a	na
39_	chr1	miRNA	9211794.0	9211815.0	-	MIMAT0000255	MIMAT0000255	hsa-miR-34a-5p	hsa-miR-34a-5p	MI0000268
40_	chr1	miRNA	9211752.0	9211773.0	-	MIMAT0004557	MIMAT0004557	hsa-miR-34a-3p	hsa-miR-34a-3p	MI0000268
41_	chr1	miRNA_primary_transcript	10027439.0	10027516.0	+	MI0019304	MI0019304	hsa-mir-5697	hsa-mir-5697	na
42_	chr1	miRNA	10027448.0	10027469.0	+	MIMAT0022490	MIMAT0022490	hsa-miR-5697-5p	hsa-miR-5697	MI0019304
43_	chr1	miRNA_primary_transcript	10287776.0	10287861.0	+	MI0014254	MI0014254	hsa-mir-1273d	hsa-mir-1273d	na
44_	chr1	miRNA	10287785.0	10287809.0	+	MIMAT0015090	MIMAT0015090	hsa-miR-1273d-5p	hsa-miR-1273d	MI0014254
45_	chr1	miRNA_primary_transcript	12089215.0	12089279.0	+	MI0022574	MI0022574	hsa-mir-6729	hsa-mir-6729	na
46_	chr1	miRNA	12089220.0	12089241.0	+	MIMAT0027359	MIMAT0027359	hsa-miR-6729-5p	hsa-miR-6729-5p	MI0022574
47_	chr1	miRNA	12089259.0	12089279.0	+	MIMAT0027360	MIMAT0027360	hsa-miR-6729-3p	hsa-miR-6729-3p	MI0022574
48_	chr1	miRNA_primary_transcript	12227000.0	12227095.0	+	MI0025516	MI0025516	hsa-mir-7846	hsa-mir-7846	na
49_	chr1	miRNA	12227067.0	12227087.0	+	MIMAT0030421	MIMAT0030421	hsa-miR-7846-3p	hsa-miR-7846-3p	MI0025516
50_	chr1	miRNA_primary_transcript	12251770.0	12251830.0	+	MI0017259	MI0017259	hsa-mir-4632	hsa-mir-4632	na
51_	chr1	miRNA	12251809.0	12251830.0	+	MIMAT0019688	MIMAT0019688	hsa-miR-4632-3p	hsa-miR-4632-3p	MI0017259
52_	chr1	miRNA	12251770.0	12251792.0	+	MIMAT0022977	MIMAT0022977	hsa-miR-4632-5p	hsa-miR-4632-5p	MI0017259
53_	chr1	miRNA_primary_transcript	12638985.0	12639051.0	-	MI0022575	MI0022575	hsa-mir-6730	hsa-mir-6730	na
54_	chr1	miRNA	12639024.0	12639046.0	-	MIMAT0027361	MIMAT0027361	hsa-miR-6730-5p	hsa-miR-6730-5p	MI0022575
55_	chr1	miRNA	12638986.0	12639007.0	-	MIMAT0027362	MIMAT0027362	hsa-miR-6730-3p	hsa-miR-6730-3p	MI0022575
56_	chr1	miRNA_primary_transcript	17185444.0	17185516.0	-	MI0016076	MI0016076	hsa-mir-3675	hsa-mir-3675	na
57_	chr1	miRNA	17185483.0	17185505.0	-	MIMAT0018098	MIMAT0018098	hsa-miR-3675-5p	hsa-miR-3675-5p	MI0016076
58_	chr1	miRNA	17185453.0	17185474.0	-	MIMAT0018099	MIMAT0018099	hsa-miR-3675-3p	hsa-miR-3675-3p	MI0016076
59_	chr1	miRNA_primary_transcript	17604384.0	17604470.0	+	MI0016990	MI0016990	hsa-mir-3972	hsa-mir-3972	na
60_	chr1	miRNA	17604443.0	17604464.0	+	MIMAT0019357	MIMAT0019357	hsa-miR-3972-3p	hsa-miR-3972	MI0016990
61_	chr1	miRNA_primary_transcript	19209696.0	19209769.0	-	MI0017328	MI0017328	hsa-mir-4695	hsa-mir-4695	na
62_	chr1	miRNA	19209744.0	19209765.0	-	MIMAT0019788	MIMAT0019788	hsa-miR-4695-5p	hsa-miR-4695-5p	MI0017328
63_	chr1	miRNA	19209698.0	19209719.0	-	MIMAT0019789	MIMAT0019789	hsa-miR-4695-3p	hsa-miR-4695-3p	MI0017328
64_	chr1	miRNA_primary_transcript	19223565.0	19223642.0	-	MI0006352	MI0006352	hsa-mir-1290	hsa-mir-1290	na
65_	chr1	miRNA	19223572.0	19223590.0	-	MIMAT0005880	MIMAT0005880	hsa-miR-1290-3p	hsa-miR-1290	MI0006352
66_	chr1	miRNA_primary_transcript	20960172.0	20960281.0	+	MI0020361	MI0020361	hsa-mir-6084	hsa-mir-6084	na
67_	chr1	miRNA	20960249.0	20960268.0	+	MIMAT0023709	MIMAT0023709	hsa-miR-6084-3p	hsa-miR-6084	MI0020361
68_	chr1	miRNA_primary_transcript	21314807.0	21314925.0	-	MI0006390	MI0006390	hsa-mir-1256	hsa-mir-1256	na
69_	chr1	miRNA	21314870.0	21314891.0	-	MIMAT0005907	MIMAT0005907	hsa-miR-1256-5p	hsa-miR-1256	MI0006390
70_	chr1	miRNA_primary_transcript	22592732.0	22592793.0	+	MI0016754	MI0016754	hsa-mir-4418	hsa-mir-4418	na
71_	chr1	miRNA	22592770.0	22592787.0	+	MIMAT0018930	MIMAT0018930	hsa-miR-4418-3p	hsa-miR-4418	MI0016754
72_	chr1	miRNA_primary_transcript	22959751.0	22959859.0	-	MI0021271	MI0021271	hsa-mir-6127	hsa-mir-6127	na
73_	chr1	miRNA	22959821.0	22959839.0	-	MIMAT0024610	MIMAT0024610	hsa-miR-6127-5p	hsa-miR-6127	MI0021271
74_	chr1	miRNA_primary_transcript	23046010.0	23046091.0	+	MI0017316	MI0017316	hsa-mir-4684	hsa-mir-4684	na
75_	chr1	miRNA	23046023.0	23046044.0	+	MIMAT0019769	MIMAT0019769	hsa-miR-4684-5p	hsa-miR-4684-5p	MI0017316
76_	chr1	miRNA	23046059.0	23046080.0	+	MIMAT0019770	MIMAT0019770	hsa-miR-4684-3p	hsa-miR-4684-3p	MI0017316
77_	chr1	miRNA_primary_transcript	23189652.0	23189719.0	-	MI0015860	MI0015860	hsa-mir-4253	hsa-mir-4253	na
78_	chr1	miRNA	23189662.0	23189679.0	-	MIMAT0016882	MIMAT0016882	hsa-miR-4253-3p	hsa-miR-4253	MI0015860
79_	chr1	miRNA_primary_transcript	23370798.0	23370865.0	+	MI0014127	MI0014127	hsa-mir-3115	hsa-mir-3115	na
80_	chr1	miRNA	23370803.0	23370822.0	+	MIMAT0014977	MIMAT0014977	hsa-miR-3115-5p	hsa-miR-3115	MI0014127
81_	chr1	miRNA_primary_transcript	23384351.0	23384427.0	-	MI0016755	MI0016755	hsa-mir-4419a	hsa-mir-4419a	na
82_	chr1	miRNA	23384373.0	23384389.0	-	MIMAT0018931	MIMAT0018931	hsa-miR-4419a	hsa-miR-4419a	MI0016755
83_	chr1	miRNA_primary_transcript	24255560.0	24255637.0	+	MI0016756	MI0016756	hsa-mir-378f	hsa-mir-378f	na
